,station_name,station_no,site_name,station_latitude,station_longitude,Vert_coord_Loc,TOS_1,BOS_1,TOS_2,BOS_2,TOS_3,BOS_3,TOS_4,BOS_4,TOS_5,BOS_5,TOS_6,BOS_6,TOS_7,BOS_7,TOS_8,BOS_8,Depth_to_Bot_Perf,Depth_to_Top_Perf,Depth_Category,Subbasin_Name,GWREF_DATUM,Web_Station_Name,Well_Depth,geometry
96,PLP13-0006_1,PLP13-0006_1,PRMD,38.22906084,-122.454277,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,11.69,,,POINT (6431166.077980044 1845565.5300631258)
136,Son0159,SV-M18-01,Sonoma Creek,38.23079873,-122.4589981,Lidar_Elev_NAVD88,60.0,240.0,,,,,,,,,,,,,,,60.0,240,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,15.32,,240,POINT (6429813.052547492 1846205.2434199508)
219,Son0264,381352122271901,Sonoma Creek,38.23127778,-122.4553889,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,11.0,,125,POINT (6430850.710638081 1846374.4921000206)
220,Son0265,381357122271801,Sonoma Creek,38.23266667,-122.4551944,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,10.0,,175,POINT (6430909.116526545 1846880.0180010223)
72,UPE08-0075_1,UPE08-0075_1,PRMD,38.23502446,-122.4604711,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,22.62,,,POINT (6429397.715517647 1847746.306882472)
12,PLP04-0051_2,PLP04-0051_2,PRMD,38.23558744,-122.4620352,,,,,,,,,,,,,,,,,,235.0,155.0,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,22.21,,235.0,POINT (6428949.479164228 1847953.6111267065)
380,Son0443,4900909-002,Sonoma Creek,38.23575,-122.461972,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,,POINT (6428967.933859364 1848012.719928104)
11,PLP04-0051_1,PLP04-0051_1,PRMD,38.235918,-122.462083,,,,,,,,,,,,,,,,,,235.0,155.0,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,22.64570212616237,,235.0,POINT (6428936.361201819 1848074.0640467023)
135,Son0158,SV-M17-02,Sonoma Creek,38.23600013,-122.46086,Survey_ElevNAD88,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,21.35,,.,POINT (6429287.808375585 1848102.1917022732)
253,Son0304,381359122245001,Sonoma Creek,38.23305556,-122.4138889,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,8.0,,,POINT (6442774.941102058 1846964.9586056815)
252,Son0303,381408122250501,Sonoma Creek,38.23555556,-122.4181389,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,5.0,,300,POINT (6441558.305741343 1847880.9930653688)
257,Son0309,381410122242301,Sonoma Creek,38.2362222,-122.4065556,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,50.0,,180,POINT (6444886.61351611 1848108.6872535956)
146,UPE15-0046_1,UPE15-0046_1,PRMD,38.237075,-122.401933,,,,,,,,,,,,,,,,,,,,Other,NAPA-SONOMA VALLEY - SONOMA VALLEY,55.93481826167377,,,POINT (6446215.784829232 1848413.359609435)
250,Son0301,381415122251501,Sonoma Creek,38.2375,-122.4208333,Survey_ElevNGVD29,,,,,,,,,,,,,,,,,,,Shallow (0-200ft),NAPA-SONOMA VALLEY - SONOMA VALLEY,5.0,,60,POINT (6440787.63816396 1848592.6889890777)
